remainder,xi,sinhala_unicode
0,,
1,N,ං
2,N,ඃ
3,:,෾
4,e,෿
5,A,අ
6,Aa,ආ
7,AE,ඇ
8,ae,ඈ
9,AI,ඉ
10,AI,ඊ
11,AU,උ
12,AU,ඌ
13,r,ඍ
14,ri,ඎ
15,l,ඏ
16,li,ඐ
17,AE,එ
18,AE,ඒ
19,AE,ඓ
20,AO,ඔ
21,AO,ඕ
22,AO,ඖ
23,,
24,,
25,,
26,k,ක
27,K,ඛ
28,g,ග
29,gh,ඝ
30,N,ඞ
31,N,ඟ
32,ch,ච
33,Ch,ඡ
34,z,ජ
35,Z,ඣ
36,n,ඤ
37,n,ඥ
38,n,඲
39,t,ට
40,T,ඨ
41,d,ඩ
42,D,ඪ
43,n,ණ
44,n,ඬ
45,j,ත
46,J,ථ
47,q,ද
48,Q,ධ
49,n,න
50,,
51,nq,ඳ
52,p,ප
53,f,ඵ
54,b,බ
55,B,භ
56,m,ම
57,mb,ඹ
58,y,ය
59,r,ර
60,,
61,l,ල
62,,
63,,
64,w,ව
65,S,ශ
66,s,ෂ
67,s,ස
68,H,හ
69,l,ළ
70,f,ෆ
71,,
72,,
73,,
74,,්
75,,
76,,
77,,
78,,
79,a,ා
80,e,ැ
81,ae,ෑ
82,i,ි
83,i,ී
84,u,ු
85,,
86,u,ූ
87,,
88,ri,ෘ
89,e,ෙ
90,e,ේ
91,ei,ෛ
92,o,ො
93,o,ෝ
94,o,ෞ
95,l,ෳ
96,,
97,,
98,,
99,,
100,,
101,,
102,0,෦
103,1,෧
104,2,෨
105,3,෩
106,4,෪
107,5,෫
108,6,෬
109,7,෭
110,8,෮
111,9,෯
112,,
113,,
114,ri,ෲ
115,li,ෳ
116,.,।.
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
