,,U+0900,U+0980,U+0A00,U+0A80,U+0B00,U+0B80,U+0C00,U+0C80,U+0D00
remainder,xi,hindi,bengali,gurmukhi,gujarati,oriya,tamil,telugu,kannada,malayalam
0,,ऀ,,,,,,,,
1,N,ँ,ँ,ँ,ँ,ँ,,ఁ,,,
2,N,ं,ं,ं,ं,ं,ஂ,ం,ం,ം
3,:,ः,ः,ः,ः,ः,ஃ,ః,ః,ഃ
4,xe,ऄ,,,,,,,,,
5,x,अ,অ,ਅ,અ,ଅ,அ,అ,ಅ,അ
6,xa,आ,আ,ਆ,આ,ଆ,ஆ,ఆ,ಆ,ആ
7,_i,इ,ই,ਇ,ઇ,ଇ,இ,ఇ,🇮🇳,ഇ
8,_i,ई,ঈ,ਈ,ઈ,ଈ,ஈ,ఈ,ಈ,ഈ
9,_u,उ,উ,ਉ,🇺🇸,ଉ,உ,ఉ,ಉ,🇺🇸
10,_u,ऊ,ঊ,ਊ,ઊ,ਊ,ஊ,ஊ,ಊ,ഊ
11,ri,ऋ,ঋ,ਁ,ઋ,ଋ,,ఋ,ಋ,ഋ
12,li,ऌ,,,,,,ఌ,ಌ,ഌ
13,_e,ऍ,,,,,,,,,
14,_e,ऎ,,,,,,ఎ,ಎ,എ
15,_e,ए,এ,ਏ,એ,ଏ,ஏ,ஏ,ಏ,ഏ
16,_e,ऐ,ঐ,ਐ,ઐ,ଐ,ஐ,🇮🇳,🇮🇳
17,ao,ऑ,,,,,,,,,
18,_o,ऒ,,,,,,ఒ,ಒ,ഒ
19,o,ओ,ও,ਓ,ઓ,ଓ,ஓ,ఓ,ఓ,ඕ
20,ou,औ,ঔ,ਔ,ઔ,ঔ,ஔ,ඖ,ඖ,ඖ
21,k,क,ক,ਕ,ਕ,କ,க,క,ಕ,ക
22,K,ख,খ,ਖ,ખ,ଖ,,ఖ,ಖ,ഖ
23,g,ग,গ,ਗ,ਗ,ଗ,,గ,ಗ,ग
24,gh,घ,ঘ,ਘ,ਘ,ଘ,,ఘ,ಘ,ഘ
25,N,ङ,ঙ,ਙ,伲,ଙ,,ங,ಙ,ങ
26,c,च,চ,ਚ,ਚ,ਚ,ச,చ,ಚ,ച
27,C,छ,ছ,ਛ,ਛ,ଛ,,ඡ,ඡ,ඡ
28,z,ज,ज,ਜ,ज,ಜ,ஜ,జ,ಜ,ජ
29,Z,झ,ঝ,ਝ,ਝ,ଝ,,ఝ,ಝ,ഝ
